Merk;Naam;Vega, Vegan, Waarschijnlijk vegan;Verkrijgbaar bij;Categorie;Subcategorie;Subcategorie
De Ruijter;Chocoladevlokken extra puur Royaal;Vegan;A-merk;Ontbijt/lunch;Broodbeleg;Zoet
AH Basic;Hazelnoot duopasta;Vegan;Albert Heijn;Ontbijt/lunch;Broodbeleg;Zoet
Plus;Hagelslag puur;Vegan;Plus;Ontbijt/lunch;Broodbeleg;Zoet
Violige;Mozzarella flavour grated;Vegan;A-merk;Zuivel;Kaas;
Next level meat;Vegan nuggets 'classic';Vegan;Lidl;Avondeten;Vleesvervangers;
Eat real;Hummus chips tomato & basil;Vegan;A-merk;Tussendoor;Hartig;Chips
Chef Select;Kaasschnitzel;Vega;Lidl;Avondeten;Vleesvervangers;
Chef Select;Groenteschijf;Vega;Lidl;Avondeten;Vleesvervangers;
Chef Select;Toscaanse carré;Vega;Lidl;Avondeten;Vleesvervangers;
Chef Select;Groenteschnitzel;Vega;Lidl;Avondeten;Vleesvervangers;
Chef Select;Champignonburger;Vega;Lidl;Avondeten;Vleesvervangers;
Chef Select;Spinazie-kaasrondo;Vega;Lidl;Avondeten;Vleesvervangers;
Chef Select;Wortel-pompoenburger;Vega;Lidl;Avondeten;Vleesvervangers;
Chef Select;Kipstukjes;Vega;Lidl;Avondeten;Vleesvervangers;
Chef Select;Wokstukjes;Vega;Lidl;Avondeten;Vleesvervangers;
Chef Select;Rulgehakt;Vegan;Lidl;Avondeten;Vleesvervangers;
Chef Select;Shoarma;Vegan;Lidl;Avondeten;Vleesvervangers;
Chef Select;Spekreepjes;Vegan;Lidl;Avondeten;Vleesvervangers;
Chef Select;Tofu;Vegan;Lidl;Avondeten;Vleesvervangers;
Chef Select;Tempeh;Vegan;Lidl;Avondeten;Vleesvervangers;
Chef Select;Kip krokant schnitzel;Vegan;Lidl;Avondeten;Vleesvervangers;
Chef Select;Juicy steak;Vegan;Lidl;Avondeten;Vleesvervangers;
Chef Select;Braadworst;Vega;Lidl;Avondeten;Vleesvervangers;
Chef Select;Balletjes;Vega;Lidl;Avondeten;Vleesvervangers;
Chef Select;Burger;Vega;Lidl;Avondeten;Vleesvervangers;
Chef Select;Schnitzel;Vega;Lidl;Avondeten;Vleesvervangers;
Chef Select;Orientschijf;Vega;Lidl;Avondeten;Vleesvervangers;
Chef Select;Kaasschelp;Vega;Lidl;Avondeten;Vleesvervangers;
VegaFit;Nuggets;Vegan;A-merk;Avondeten;Vleesvervangers;
Ola;Raket;Vegan;A-merk;Tussendoor;Ijs;Waterijs
Tony's Chocolonely;Puur amandel zeezout;Vegan;A-merk;Tussendoor;Zoet;Chocola
Tony's Chocolonely;Puur;Vegan;A-merk;Tussendoor;Zoet;Chocola
Tony's Chocolonely;Puur pecan kokos;Vegan;A-merk;Tussendoor;Zoet;Chocola
Calvé;Steak saus (glazen fles);Vegan;A-merk;Avondeten;Sauzen;
Calvé;Schaschlik (glazen fles);Vegan;A-merk;Avondeten;Sauzen;
Calvé;Barbecue saus (glazen fles);Vegan;A-merk;Avondeten;Sauzen;
Garden Gourmet;Sensational Chorizo;Vegan;A-merk;Avondeten;Vleesvervangers;
Garden Gourmet;Vegetarisch fijngehakt;Vegan;A-merk;Avondeten;Vleesvervangers;
Garden Gourmet;Sensational braadworst;Vegan;A-merk;Avondeten;Vleesvervangers;
Garden Gourmet;Sensational gehakt;Vegan;A-merk;Avondeten;Vleesvervangers;
Garden Gourmet;Falafel pikant;Vegan;A-merk;Avondeten;Vleesvervangers;
Garden Gourmet;Falafel spinazie;Vegan;A-merk;Avondeten;Vleesvervangers;
Garden Gourmet;Falafel;Vegan;A-merk;Avondeten;Vleesvervangers;
Garden Gourmet;Burger;Vegan;A-merk;Avondeten;Vleesvervangers;
Garden Gourmet;Sensational burger;Vegan;A-merk;Avondeten;Vleesvervangers;
Garden Gourmet;Burger deluxe;Vega;A-merk;Avondeten;Vleesvervangers;
Garden Gourmet;Kaasschnitzel;Vega;A-merk;Avondeten;Vleesvervangers;
Garden Gourmet;Burger Jalapeno;Vega;A-merk;Avondeten;Vleesvervangers;
Garden Gourmet;Chimichurriburger;Vega;A-merk;Avondeten;Vleesvervangers;
Knorr;Wereldgerecht Mexicaanse burrito's;Vegan;A-merk;Avondeten;Maaltijdpakketten;
Knorr;Wereldgerecht Mexicaanse burrito's XXL;Vegan;A-merk;Avondeten;Maaltijdpakketten;
Knorr;Wereldgerecht Mexicaanse taco's;Vegan;A-merk;Avondeten;Maaltijdpakketten;
Knorr;Wereldgerecht Turkse Dürüm;Vegan;A-merk;Avondeten;Maaltijdpakketten;
Knorr;Wereldgerecht Surinaase Roti;Vegan;A-merk;Avondeten;Maaltijdpakketten;
Knorr;Wereldgerecht Nacho Ovenschotel;Vegan;A-merk;Avondeten;Maaltijdpakketten;
Knorr;Wereldgerecht Mexicaanse Quesadilla's;Vegan;A-merk;Avondeten;Maaltijdpakketten;
Mora;Vegetarische kipkorn;Vegan;A-merk;Avondeten;Vleesvervangers;
Mora;Veggie saté;Vega;A-merk;Avondeten;Vleesvervangers;
Mora;Oven & Airfryer Goudse kaassoufflé;Vega;A-merk;Avondeten;Vleesvervangers;
Mora;Vega draadjesvlees kroket;Vega;A-merk;Avondeten;Vleesvervangers;
Mora;Oven & Airfryer bamischijf vega;Vegan;A-merk;Avondeten;Vleesvervangers;
Mora;Tostini Mozzarella-tomaat;Vega;A-merk;Avondeten;Vleesvervangers;
Mora;Mini Kaassoufflé;Vega;A-merk;Avondeten;Vleesvervangers;
Mora;Kaassoufflé;Vega;A-merk;Avondeten;Vleesvervangers;
Mora;Vega draadjesvlees bitterballen;Vega;A-merk;Avondeten;Vleesvervangers;
Mora;Loempia groenten;Vega;A-merk;Avondeten;Vleesvervangers;
Mora;Vegetarische frikandellen;Vega;A-merk;Avondeten;Vleesvervangers;
Mora;Oven groenten bitterballen;Vega;A-merk;Avondeten;Vleesvervangers;
Peijnenburg;Ontbijtkoek parelkandij ongesneden;Vegan;A-merk;Tussendoor;Zoet;
AH;Speculaasbrokken;Vegan;Albert Heijn;Tussendoor;Koek;Luxe koeken
Snelle jelle;Ontbijtkoek;Vegan;A-merk;Tussendoor;Zoet;
Peijnenburg;Ontbijtkoek rozijnen ongesneden;Vegan;A-merk;Tussendoor;Zoet;
Peijnenburg;Ontbijtkoek noten ongesneden;Vegan;A-merk;Tussendoor;Zoet;
Nakd;Cacao delight;Vegan;A-merk;Tussendoor;Zoet;
Nakd;Blueberry muffin;Vegan;A-merk;Tussendoor;Zoet;
Nakd;Pecan Pie;Vegan;A-merk;Tussendoor;Zoet;
Nakd;Salted caramel;Vegan;A-merk;Tussendoor;Zoet;
Nakd;Lemon cake;Vegan;A-merk;Tussendoor;Zoet;
Nakd;Berry delight;Vegan;A-merk;Tussendoor;Zoet;
Nakd;Cocoa coconut;Vegan;A-merk;Tussendoor;Zoet;
Nakd;Carrot cake;Vegan;A-merk;Tussendoor;Zoet;
Nakd;Coffee&Walnut;Vegan;A-merk;Tussendoor;Zoet;
Nakd;Strwaberry sundae;Vegan;A-merk;Tussendoor;Zoet;
Nakd;Banoffee pie;Vegan;A-merk;Tussendoor;Zoet;
Nakd;Banana oatie;Vegan;A-merk;Tussendoor;Zoet;
Trek;Proteine Flapjacks Cocoa Oat;Vegan;A-merk;Tussendoor;Zoet;
Trek;Proteine Flapjacks Banana bread;Vegan;A-merk;Tussendoor;Zoet;
Trek;Proteine Flapjacks Cocoa coconut;Vegan;A-merk;Tussendoor;Zoet;
Trek;Nut bars chocolate&sea salt;Vegan;A-merk;Tussendoor;Zoet;
Trek;Nut bars blueberry&pimpkinseed;Vegan;A-merk;Tussendoor;Zoet;
AH;Bamiblok;Vegan;Albert Heijn;Avondeten;Vleesvervangers;
Vegetarische slager;Kroketten;Vegan;A-merk;Avondeten;Vleesvervangers;
Vegetarische slager;Bitterballen;Vegan;A-merk;Avondeten;Vleesvervangers;
Vegetarische slager;Kipnuggets;Vegan;A-merk;Avondeten;Vleesvervangers;
